# DocID	SntID	English_Source	MT_Output	Segment-level_minimal_PE	Document-level_full_PE
10578	15344	HACAN describe themselves on their website as an &quot;independent lobbying group which campaigns for quieter, cleaner and safer conditions for residents living under Heathrow&apos;s flight paths&quot;.	ＨＡＣＡＮは彼らのウェブサイトで、彼ら自身を「より静かで、より清潔で、より安全な環境のためのキャンペーンをする独立したロビー団体」と表現している。	ＨＡＣＡＮはウェブサイトで自らの組織を「ヒースローの飛行経路の下に暮らす住民のより静かで、清潔で、安全な環境を求めて活動する独立した支援団体」と表現している。	ＨＡＣＡＮはウェブサイトで自らの組織を「ヒースローの飛行経路の下に暮らす住民のより静かで、清潔で、安全な環境を求めて活動する独立支援団体」と表現している。
10578	15345	Future Heathrow believe that Heathrow airport is crucial to prosperity of the Thames Valley region, and are in favour of building a third runway at the airport.	未来のヒースローは、ヒースロー空港がテームズバレー地域の繁栄にとって極めて重要であり、空港に第三の滑走路を建設することに賛成していると考えている。	Ｆｕｔｕｒｅ Ｈｅａｔｈｒｏｗは、ヒースロー空港はテームズバレー地域の繁栄にとって極めて重要と考え、空港に第三滑走路を建設することに賛成している。	Ｆｕｔｕｒｅ Ｈｅａｔｈｒｏｗは、ヒースロー空港はテームズバレー地域の繁栄にとって極めて重要と考えており、空港の第三滑走路の建設に賛成している。
108775	17629	Robert Mugabe, the Zimbabwean president who has recently been widely criticized by world leaders, has claimed the current results show that he will have a &apos;sweeping victory&apos; in the unopposed presidential run-off elections.	最近世界の指導者から広く批判されたジンバブエの大統領ロバート・ムガベは、現在の結果が、彼が反対のない大統領選挙で「圧倒的な勝利」を得ることを示していると主張した。	最近、世界の指導者から広く批判されているジンバブエの大統領ロバート・ムガベは、現在の結果は、自身が大統領選挙の無競争の決選投票で「圧倒的な勝利」を得るであろうことを示していると主張した。	最近、世界の指導者から広く批判されているジンバブエの大統領ロバート・ムガベは、現在の結果は、対立候補のいない大統領選の決選投票における、自身の「圧倒的な勝利」を示していると主張した。
108775	17630	Mugabe announced his victory on one of the state run television networks.	ムガベは国営テレビ局の１つで彼の勝利を発表した。	ムガベは国営テレビ局の１つで自身の勝利を発表した。	ムガベは国営テレビ局の１つで自身の勝利を発表した。
108775	17631	&quot;The returns show that we are winning convincingly, that we have won in all the 26 constituencies in Harare, an MDC stronghold where we won in only one constituency in March,&quot; he said.	「リターンは、我々が説得力のある勝利をしており、３月にたった１選挙区で勝利したＭＤＣの本拠地であるハラレの２６の選挙区全てで我々が勝ったことを示している」と彼は言った。	「この開票結果は、ＭＤＣの本拠地で、３月に１つの選挙区でしか勝てなかったハラレにおいて２６の選挙区全てで我々が勝ったという説得力のある勝利を示している」と彼は述べた。	「この選挙結果は、ＭＤＣの本拠地で、３月に１つの選挙区でしか勝てなかったハラレにおいて２６の選挙区全てで我々が勝ったという説得力のある勝利を示している」と彼は述べた。
108775	17632	Robert Mugabe was recently under a large amount of pressure to postpone the election after the main opposition candidate, Morgan Tsvangirai, pulled out due to fears of violence.	ロバート・ムガベは最近、主要な野党候補であるＭｏｒｇａｎＴｓｖａｎｇｉｒａｉが暴力の恐れのために退席した後、選挙を延期するよう圧力をかけられた。	主要な対立候補であるモーガン・ツァンギライが暴力の恐れのために退いた後、ロバート・ムガベは最近、選挙を延期するよう大きな圧力をかけられた。	主要な対立候補であるモーガン・ツァンギライが暴力の恐れのために退いた後、ロバート・ムガベは最近、選挙を延期するよう大きな圧力をかけられた。
108775	17633	For example, Ban Ki-moon, secretary general of the United Nations yesterday called for the election to be postponed.	例えば、国連事務総長のバン・ギムンは昨日、選挙が延期されることを要求した。	例えば、国連事務総長のパン・ギムンは昨日、選挙を延期するよう要求した。	例えば、国連事務総長のパン・ギムンは昨日、選挙の延期を要求した。
108775	17634	He said that he &quot;strongly supports the statement of the Chairman of SADC (Southern African Development Community) that conditions do not exist for a run-off election to be held at this time and that they should be postponed.&quot;	彼は「彼はＳＡＤＣ（南部アフリカ開発共同体）議長の声明を強く支持しているが、この時点での決選投票が行われる条件は存在せず、延期されるべきである」と言った。	彼は「現時点で決選投票を行う状況は存在しないため延期すべきであるというＳＡＤＣ（南部アフリカ開発共同体）議長の声明を強く支持する」と述べた。	彼は「現時点で決選投票を行う状況はないため延期すべきであるという、ＳＡＤＣ（南部アフリカ開発共同体）議長の声明を強く支持する」と述べた。
110217	5959	A wax model of British singer Amy Winehouse was unveiled on Wednesday at Madame Tussauds in London.	ロンドンのマダム・トゥサウズで水曜日に、イギリスの歌手、エミー・ワインハウスのワックス・モデルが発表された。	ロンドンのマダム・タッソー館で水曜日、イギリスの歌手、エイミー・ワインハウスの蝋人形が公開された。	ロンドンのマダム・タッソー館で水曜日、イギリスの歌手、エイミー・ワインハウスの蝋人形が公開された。
110217	5960	The model, nearly six feet tall and clad in a yellow dress with a microphone in hand, is said to bear a strong likeness to the singer.	身長約６フィートで、マイクを手にした黄色いドレスを着たそのモデルは、その歌手に強く似ていると言われている。	モデルは身長約６フィートで、マイクを手にして黄色いドレスを着ており、その歌手に非常に似ていると言われている。	蝋人形は身長約６フィートで、マイクを手にして黄色いドレスを着ており、本人に非常に似ていると言われている。
110217	5961	Her tattoos have even been reproduced to the last detail, including one of a lightning bolt.	彼女の刺青は、稲妻の１つを含めて、最後の詳細まで再現された。	彼女の刺青は、稲妻１つを含め、細かい点まで再現された。	彼女の刺青は、稲妻１つを含め、細かい点まで再現された。
110217	5962	While her parents attended the event, Winehouse herself was too busy working to attend.	彼女の両親がそのイベントに出席した間、ワインハウス自身は仕事で忙しくて参加できなかった。	彼女の両親がそのイベントに出席したが、ワインハウス自身は仕事で忙しくて参加できなかった。	彼女の両親がそのイベントに出席したが、ワインハウス自身は仕事で忙しく参加できなかった。
110217	5963	Her father Mitch remarked that &quot;This is the reward for her musical achievements and her talent&quot;.	彼女の父親のミッチは、「これは彼女の音楽的な功績と才能に対する報酬だ」と言った。	彼女の父親のミッチは、「これは彼女の音楽的な功績と才能に対する報酬だ」と言った。	彼女の父親のミッチは、「これは彼女の音楽的な功績と才能に対するご褒美だ」と言った。
110217	5964	The troubled singer, 24, is well known for her drug use, and last month was thought to have been suffering from the early stages of emphysema.	問題のある歌手、２４歳は薬物使用でよく知られていて、先月は気腫の初期の段階で苦しんでいたと考えられていた。	その２４歳の問題のある歌手は薬物使用でよく知られていて、先月は初期の肺気腫で苦しんでいたと考えられていた。	問題の多いこの２４歳の歌手は薬物使用でよく知られていて、先月は初期の肺気腫で苦しんでいたと考えられている。
110682	10160	A 54-year-old German farmer who lost both arms in a farming accident six years ago has become the first patient to receive a complete double arm transplant.	６年前に農業事故で両腕を失った５４歳のドイツの農家は、完全な二腕移植を受けた最初の患者となった。	６年前に農作業事故で両腕を失った５４歳のドイツ人農業従事者は、完全な両腕の移植を受けた最初の患者となった。	６年前に農作業事故で両腕を失った５４歳のドイツ人農業従事者が、完全な両腕の移植を受けた最初の患者となった。
110682	10161	In a press statement released by the clinic, it was revealed that the patient had been thoroughly physically checked and had psychological counselling prior to the surgery to ensure he was mentally stable enough to cope with the procedure.	診療所によって発表された記者発表で、患者は手術前に身体的に徹底的にチェックされ、手術に対処するのに十分に精神的に安定していることを保証するために心理カウンセリングを受けていたことが明らかになった。	診療所が行った記者発表で、患者は手術前に身体面を徹底的にチェックされ、手術に耐えられるほど精神的に安定していることを確認するために心理カウンセリングを受けていたことが明らかになった。	診療所が行った記者発表で、この患者は手術前に身体面について徹底的なチェックを受け、手術に耐えられるほど精神的に安定していることを確認するために心理カウンセリングを受けていたことが明らかになった。
110682	10162	Since completion of the surgery, the patient has been on immuno-suppressant drugs to prevent rejection of the new limbs.	手術の終了以来、患者は新しい手足の拒絶反応を防ぐために免疫抑制薬を服用している。	手術の終了以来、その患者は新しい手足の拒絶反応を防ぐために免疫抑制薬を服用している。	手術の終了以降、患者は新しい腕の拒絶反応を防ぐために免疫抑制剤を服用している。
110682	10163	Indications from the clinic suggest that the double attachment went well, although it could be up to 2 full years before the patient is able to move the arms.	診療所からの適応は、患者が腕を動かすことができるようになるまでに最長２年かかる可能性があるが、二重連結がうまくいったことを示唆している。	診療所の診察では、二重連結はうまくいったが、患者が腕を動かせるようになるまで最長２年かかる可能性があることが示された。	診療所の発表内容によると、手術はうまくいったが、この患者が腕を動かせるようになるまで最長２年かかる可能性があるようだ。
110682	10164	The donor arms came from an unnamed teenager, who is believed to have died in a car accident.	寄贈された武器は、自動車事故で死亡したと思われる無名のティーンエイジャーから来た。	ドナーの両腕は、自動車事故で死亡したと思われる匿名のティーンエイジャーのものだった。	提供された両腕は、交通事故で死亡したと思われる氏名非公表の１０代の若者のものだった。
113129	4859	The 12-year-old son of neuroscientist and MIT graduate Dr. Aafia Siddiqui, Mohammad Ahmed, was handed over to his aunt Fauzia Siddiqui in Islamabad after years of detention in a US military base in Afghanistan.	神経科学者でＭＩＴの大学院生であるＡａｆｉａＳｉｄｄｉｑｕｉ博士の１２歳の息子、モハメド・アーメドは、アフガニスタンの米国の軍事基地で何年も拘留された後、彼の叔母であるファウツィア・Ｓｉｄｄｉｑｕｉに引き渡された。	神経科学者でＭＩＴの卒業生であるアーフィア・シディキ博士の１２歳の息子、モハメド・アーメドは、アフガニスタンの米軍基地で何年も拘留された後、イスラマバードにいる彼の叔母ファウジア・シディキに引き渡された。	神経科学者でＭＩＴの卒業生であるアーフィア・シディキ博士の１２歳の息子、モハメド・アーメドは、アフガニスタンの米軍基地で長年にわたり拘留された後、イスラマバードにいる彼の叔母ファウジア・シディキに引き渡された。
113129	4860	Dr. Aafia Siddiqui is still currently facing trial charged with attempting to kill American soldiers in Afghanistan.	ＡａｆｉａＳｉｄｄｉｑｕｉ博士は、アフガニスタンで米軍兵士を殺害しようとしたとして起訴された裁判にまだ直面している。	アーフィア・シディキ博士は現在も、アフガニスタンで米軍兵士を殺害しようとしたとして起訴された裁判を受けている。	アーフィア・シディキ博士は現在も、アフガニスタンで米軍兵士を殺害しようとした罪で裁判を受けている。
113129	4861	Siddiqui and her three children disappeared after leaving her parent&apos;s house in Karachi on 30th March, 2003.	シドディキーと彼女の３人の子供たちは、２００３年３月３０日にカラチの彼女の両親の家を去った後、姿を消した。	シディキと彼女の３人の子供たちは、２００３年３月３０日にカラチにある彼女の両親の家を去った後、姿を消した。	シディキと彼女の３人の子供たちは、２００３年３月３０日にカラチにある彼女の両親の家を出た後、姿を消した。
113129	4862	She was married to a nephew of Khalid Sheikh Mohammed, the accused mastermind of the September 11 attacks.	彼女は、９月１１日の攻撃の首謀者として訴えられたカリド・シェイク・モハメドの甥と結婚した。	彼女は、９．１１の攻撃の首謀者として訴えられたハリド・シェイク・モハメドの甥と結婚した。	彼女は、９．１１の攻撃の首謀者として訴えられたハリド・シェイク・モハメドの甥と結婚していた。
113129	4863	Her husband was captured in 2003 and is now held at the Guantanamo Bay Detention Center.	彼女の夫は２００３年に拘束され、現在グアンタナモ湾拘置所で拘束されている。	彼女の夫は２００３年に拘束され、現在グアンタナモ湾収容所に収容されている。	彼女の夫は２００３年に拘束され、現在グアンタナモ湾収容所に収容されている。
113129	4864	In 2004, Dr. Aafia was identified by the FBI as an &quot;Al-Qaeda operative and facilitator who posed a clear and present danger to America&quot;.	２００４年に、Ａａｆｉａ博士はＦＢＩによって「アメリカに明白で現在の危険をもたらしたアルカイダの工作者と促進者」と特定された。	２００４年、アーフィア博士はＦＢＩによって「アメリカに現在の明白な危険をもたらしたアルカイダの工作者かつまとめ役」と特定された。	２００４年、アーフィア博士はＦＢＩによって「アメリカに現在の明白な危険をもたらしたアルカイダの工作者かつまとめ役」と特定された。
113129	4865	Mohammad Ahmed was only six when he and his mother, brother and sister were abducted from Karachi in 2003 and later handed over to US authorities.	モハメッド・アーメドは、彼と彼の母親、兄弟、妹が２００３年にカラチから誘拐され、後に米国当局に引き渡された時、たった６歳だった。	モハメッド・アーマドは、自身と母親、兄、妹が２００３年にカラチから誘拐され、後に米国当局に引き渡された時、たった６歳だった。	モハメド・アーメドは、自身と母親、兄、妹が２００３年にカラチから誘拐され、後に米国当局に引き渡された時、わずか６歳だった。
113129	4866	Dr. Fauzia told journalists after the boy had been given to her by officials of the interior ministry and intelligence agencies.	ファウツィア博士は、少年が内務省と情報機関の職員によって彼女に与えられた後、ジャーナリストに話した。	ファウツィア博士は、少年が内務省と情報機関の職員によって彼女に引き渡された後、ジャーナリストに話した。	ファウジア博士は、少年が内務省と情報機関の職員によって彼女に引き渡された後、ジャーナリストに話した。
113129	4867	Mohammad Ahmed arrived at the Benazir International Airport in Islamabad from Kabul in a PIA flight and was taken to his aunt’s residence.	モハメド・アーメドはＰＩＡのフライトでカブールからイスラム教のベナジール国際空港に到着し、彼の叔母の住居に運ばれた。	モハメッド・アーメドはＰＩＡのフライトでカブールからイスラマバードのベナジル・ブット国際空港に到着し、自身の叔母の住居に移送された。	モハメド・アーメドはＰＩＡのフライトでカブールからイスラマバードのベナジル・ブット国際空港に到着し、自身の叔母の住居に移送された。
113129	4868	Human Rights Commission of Pakistan co-chairman Iqbal Haider said that the daughter of Dr. Aafia was also in Afghanistan.	パキスタン人権委員会のＩｑｂａｌＨａｉｄｅｒ共同議長は、Ａａｆｉａ博士の娘もアフガニスタンにいたと言った。	パキスタン人権委員会のイクバル・ハイダー共同議長は、アーフィア博士の娘もアフガニスタンにいたと話した。	パキスタン人権委員会のイクバル・ハイダー共同議長は、アーフィア博士の娘もアフガニスタンにいたと話した。
113129	4869	He regretted that despite having U.S. nationality, the U.S. government did nothing for the release of its four citizens, stating that &quot;this is &#91;a&#93; severe violation of the US laws and constitution.&quot;	彼は、米国国籍を持っているにも関わらず、米国政府が「これは、米国の法律と憲法の深刻な違反である」と述べて、４人の市民の解放のために何もしなかったことを後悔した。	彼は、「これは、米国の法律と憲法に対する重大な違反である」と述べ、米国籍を保有しているにも関わらず、4人の市民の解放のために米国政府が何もしなかったことに対して遺憾を表明した。	彼は、「これは、米国の法律と憲法に対する重大な違反である」と述べ、米国籍を保有しているにも関わらず、4人の市民の解放のために米国政府が何もしなかったことに対して遺憾を表明した。
113129	4870	Muhammad Ahmed landed back to his home in Karachi from where he had disappeared five years back, with his family.	モハメド・アーメドは、５年前に家族とともに姿を消したカラチの彼の家に着陸した。	モハメッド・アーメドは、５年前に姿を消した場所からカラチにある自宅に家族とともに到着した。	モハメド・アーメドは、５年前に姿を消した場所からカラチにある自宅に家族とともに到着した。
113129	4870-1	Dr. Fauzia and her family are hoping that the other two missing children would also be back home soon, by taking some positive steps from the Government of Pakistan.	ファウツィア博士と彼女の家族は、他の２人の行方不明の子どもたちがパキスタン政府からいくつかのポジティブな措置を取ってすぐに帰国することを望んでいる。	フォージア博士と彼女の家族は、パキスタン政府が積極的な手段を講じることにより、行方不明のほかの２人の子どもたちがすぐに帰国することを望んでいる。	ファウジア博士と彼女の家族は、パキスタン政府が積極的な手段を講じることにより、行方不明のほかの２人の子どもたちがすぐに帰国することを望んでいる。
114467	12990	An Austrian man is in jail after authorities say he used a flamethrower to burn his two elderly in-law parents to death as they slept in their home located in Hartberg in the state of Styria.	オーストリア人の男性は、当局が彼が、Ｓｔｙｒｉａ州のＨａｒｔｂｅｒｇにある彼らの家で彼らが寝ている間に、彼の２人の高齢の義理の両親を焼死させるために火災報知器を使ったと述べた後、刑務所にいる。	当局は、オーストリア人の男性が、シュタイアーマルク州のハルトベルクにある自宅で寝ていた高齢の義理の両親を焼死させるために火炎除草機を使ったと述べ、男は刑務所に入っている。	当局は、オーストリア人の男性が、シュタイアーマルク州のハルトベルクにある自宅で寝ていた高齢の義理の両親を火炎放射器を使って焼死させたと述べ、男は刑務所に入っている。
114467	12991	The man, 48, is said to have first doused the bedroom with gasoline and then used a canister filled with propane to light the room on fire.	４８歳の男は、最初に寝室にガソリンを注いで、その後、部屋に火をつけるためにプロパンを満たしたキャニスターを使ったと言われている。	その４８歳の男は、最初に寝室にガソリンを注いで、その後、プロパンを満たしたキャニスターを使って部屋に火をつけたということだ。	その４８歳の男は、最初に寝室にガソリンを注いで、その後、プロパンを満たしたキャニスターを使って部屋に火をつけたということだ。
114467	12992	The suspect left the scene of the crime, but was apprehended by police shortly after the incident.	容疑者は犯行現場を去ったが、事件の直後に警察に逮捕された。	容疑者は犯行現場を去ったが、事件の直後に警察に逮捕された。	容疑者は犯行現場を去ったが、事件の直後に警察に逮捕された。
114467	12993	In the process, the man stabbed himself in the stomach in an apparent suicide attempt.	その過程で、男は明らかに自殺未遂で胃を刺された。	いつの間にかその男は自ら腹部を刺しており、明らかに自殺未遂だった。	その過程で男は自ら腹部を刺しており、自殺未遂とみられている。
114467	12994	He is currently in a drug induced coma at a local hospital.	彼は現在、地元の病院で薬物性昏睡にかかっている。	彼は現在、地元の病院で、薬物による昏睡状態となっている。	彼は現在、地元の病院で、薬物誘導による昏睡状態となっている。
114594	11927	The Icelandic internet bank, Icesave, has suspended all 300,000 of its UK customer accounts, leaving account holders in the United Kingdom unable to withdraw or deposit any funds.	アイスランドのインターネット銀行であるＩｃｅｓａｖｅは、イギリスの顧客口座の全部で３００，０００を停止し、イギリスの口座所有者はどんな資金も引き出したり預金したりすることができなくなった。	アイスランドのインターネット銀行であるＩｃｅｓａｖｅがイギリスの３０万の顧客口座すべてを停止し、イギリスにいる口座保有者は資金を出し入れできなくなっている。	アイスランドのインターネット銀行であるＩｃｅｓａｖｅがイギリスの３０万の顧客口座すべてを停止し、イギリスにいる口座保有者は資金を出し入れできなくなっている。
114594	11928	&quot;We are not currently processing any deposits or any withdrawal requests through our Icesave internet accounts.&quot;	「私たちは現在、Ｉｃｅｓａｖｅのインターネットアカウントを通して預金や引き出し要求を処理していない。」	「私たちは現在、Ｉｃｅｓａｖｅのインターネットアカウントを通して預金や引き出し要求を処理していない。」	「私たちは現在、Ｉｃｅｓａｖｅのインターネット口座を通した預金や引き出しの要求を処理していません。」
114594	11929	&quot;We apologise for any inconvenience this may cause our customers.&quot;	「お客様にご迷惑をおかけしたことをお詫びします。」	「お客様にご迷惑をおかけしたことをお詫びいたします。」	「お客様にご迷惑をおかけしておりますことをお詫びいたします。」
114594	11930	The internet bank, owned by the Icelandic bank, Landsbanki (Landsbankinn), which was recently nationalised in an attempt to rescue it, has been hit by the global financial crisis.	アイスランドの銀行ランドスバンキ（ランドスバンキン）が所有するインターネット銀行は、それを救済するために最近国有化されたが、世界的な金融危機に襲われた。	救済のために最近国有化された、アイスランドの銀行ランズバンキ（ランズバンキン）が所有するインターネット銀行は、世界的な金融危機に襲われている。	救済のために最近国有化された、アイスランドの銀行ランズバンキ（ランズバンキン）が所有するインターネット銀行は、世界的な金融危機に襲われている。
114594	11931	Reports from the United Kingdom suggest that the traders and city are preparing for the parent company to be declared insolvent, leaving customers to recover their monies through a financial compensation scheme being backed by the Icelandic Government.	イギリスからの報告は、トレーダーと市が親会社が破綻したと宣言される準備をしており、顧客はアイスランド政府によって支援されている金銭補償スキームを通じて金銭を回収することができることを示唆している。	英国からの報告では、トレーダーと市は親会社の破綻宣告に備えて準備し、顧客はアイスランド政府が支援する金銭補償制度を通して資金を回収することを示唆している。	イギリスからの報告では、トレーダーと市は親会社の破綻宣告に備えて準備し、顧客はアイスランド政府が支援する金銭補償制度を通して資金を回収することを示唆している。
114594	11932	The plan will cover the first € 20,887 (Approx £16,300 / $28,720), the remainder of the customers funds being recovered through the UK&apos;s own financial compensation system.	計画は最初の２０，８８７ユーロ（約１６，３００ポンド／２８，７２０ドル）をカバーし、残りの顧客資金はイギリス自身の金融報酬システムを通じて回収される。	計画は最初の２０，８８７ユーロ（約１６，３００ポンド／２８，７２０ドル）をカバーし、残りの顧客資金はイギリス自体の金融報酬システムを通じて補填される。	計画は最初の２０，８８７ユーロ（約１６，３００ポンド／２８，７２０ドル）をカバーし、残りの顧客資金はイギリスが所有する金融補償システムを通じて補填される。
114594	11933	Following the decision to nationalise Landsbanki, the Icelandic Prime Minister, Geir Haarde, who introduced and signed the emergency legislation into law, stated:&quot;What we are doing here is saving a banking system - saving the domestic banking system - and making sure that it can function properly.&quot;	ランツバンキを国有化するという決定に続いて、緊急立法を導入して法律に署名したアイスランドの首相ゲイル・ハールデは、「我々がここで行っていることは、銀行システムを節約することであり、国内の銀行システムを節約することであり、それが適切に機能することを確実にすることである」と述べた。	ランズバンキ銀行を国有化するという決定に続いて、緊急立法を導入して法律を成立させたアイスランドの首相ゲイル・ホルデは、「我々がここで行っていることは、銀行システムを救済すること、国内の銀行システムを救済することであり、それが適切に機能するようにすることである」と述べた。	ランズバンキ銀行を国有化するという決定に続いて、緊急立法を導入して法律を成立させたアイスランドの首相ゲイル・ホルデは、「我々がここで行っていることは、銀行システムを救済すること、国内の銀行システムを救済することであり、それが適切に機能するようにすることである」と述べた。
114594	11934	In describing and explaining its actions in nationalising the bank, the Icelandic Financial Supervisory Authority issued this brief statement:	銀行を国有化する際の行動を説明し説明する際に、アイスランド金融監督局は以下の簡潔な声明を発表した。	銀行を国有化する際の措置を説明する際に、アイスランド金融監督局は以下の簡潔な声明を発表した。	銀行の国有化における措置を説明する際に、アイスランド金融監督局は以下の簡潔な声明を発表した。
114594	11935	In response to the deepening world financial situation, the Dutch government has this afternoon increased its savers protection from €38,000 to €80,000 effective immediately, to help secure the financial status of its savers within Holland.	世界的な財政状況の深刻化に対応して、オランダ政府は今日の午後、オランダ国内の貯蓄者の財政状態を保証するのを助けるために、貯蓄者保護をすぐに有効な３万８０００ユーロから８万ユーロに増やした。	世界的な財政状況の深刻化に対応して、オランダ政府は、オランダ国内の預金者の財政状態を保証するために、今日の午後、預金者保護の金額を３万８０００ユーロから８万ユーロに引き上げ、即時発効した。	世界的な財政状況の深刻化に対応して、オランダ政府は、オランダ国内の預金者の財政状態を保証するために、今日の午後、預金者保護の金額を３万８０００ユーロから８万ユーロに引き上げ、即時発効した。
114594	11936	Icesave also has a Dutch branch, icesave.nl - their website was unreachable at the time of this article.	Ｉｃｅｓａｖｅにはオランダの支店ｉｃｅｓａｖｅ．ｎｌもあり、彼らのウェブサイトはこの記事の時点ではアクセスできませんでした。	Ｉｃｅｓａｖｅにはオランダの支店ｉｃｅｓａｖｅ．ｎｌもあるが、この記事の時点では彼らのウェブサイトにアクセスできなかった。	Ｉｃｅｓａｖｅにはオランダの支店ｉｃｅｓａｖｅ．ｎｌもあるが、この記事の時点では彼らのウェブサイトにアクセスできなかった。
116244	6054	American author and producer Michael Crichton has died in Los Angeles, California at the age of 66, according to a statement released by his family.	彼の家族によって発表された声明によると、アメリカの作家でプロデューサーのマイケル・クライトンは、カリフォルニア州ロサンゼルスで６６歳で死亡した。	米国の作家で脚本家のマイケル・クライトンは、自身の家族によって発表された声明によると、カリフォルニア州ロサンゼルスで６６歳で死去したということだ。	米国の作家で脚本家のマイケル・クライトンは、家族によって発表された声明によると、カリフォルニア州ロサンゼルスで６６歳で死去したということだ。
116244	6055	According to Entertainment Tonight, Crichton died after a long and quiet battle with cancer.	エンターテイメント・トゥナイトによると、クリトンは癌との長い静かな戦いの後で死んだ。	エンターテイメント・トゥナイトによると、クライトン氏は癌との長く静かな戦いの末、死亡した。	エンターテイメント・トゥナイトによると、クライトンは癌との長く静かな戦いの末、死亡した。
